com.samsung.shealth.vitality_score,6311013,4
activity_level,activity_score,create_sh_ver,active_time_scale,activity_balance_short_term_activity,activity_balance_long_term_activity,shr_balance_scale,mvpa_time_optimal_range_max,mvpa_time_optimal_range_min,max_hr,active_time,shrv_balance_scale,main_sleep_wake_up_time,mvpa_impulse_optimal_range_max,mvpa_impulse_optimal_range_min,shr_baseline_max,shr_baseline_min,shr_calculation_index,mvpa_time,skin_temperature_scale,modify_sh_ver,sleep_balance,update_time,create_time,total_score,data_version,avg_mid_sleep_time,mvpa_time_range_max,mvpa_time_range_min,mvpa_impulse,shrv_calculation_index,sleep_regularity_scale,stable_hr_time_rate,active_time_optimal_range_max,active_time_optimal_range_min,sleep_timing,shr_score,shr_value,mvpa_impulse_scale,sleep_regularity,sleep_timing_scale,prev_shrv_avg,mvpa_time_scale,deviceuuid,sleep_score,sleep_duration_scale,activity_balance,activity_balance_range_max,activity_balance_range_min,mvpa_impulse_range_max,mvpa_impulse_range_min,pkg_name,sleep_balance_scale,shrv_score,shrv_value,sleep_duration,skin_temperature_optimal_range_max,skin_temperature_optimal_range_min,activity_balance_scale,active_time_range_max,active_time_range_min,shrv_baseline_max,shrv_baseline_min,datauuid,prev_shr_avg,day_time,shrv_penalty,activity_balance_optimal_range_max,activity_balance_optimal_range_min
180003,37.394848,62900750,53.316887,,,79.73004,,,193.0,620043,87.58174,1737607620000,,,55.708054,52.77605,-1,0,,62900750,0.5296225,2025-01-23 09:47:43.439,2025-01-23 09:47:43.439,72.67431,1,3.1266668,,,-1.0,-1,83.17651,0.5862069,,,23.466667,79.73004,58.71921,-1.0,1.2651132,89.66667,64.27899,76.37931,AxW6kiZDC9,70.74026,75.583336,,,,,,com.sec.android.app.shealth,92.575386,87.58174,58.97219,21810000,,,,,,84.84127,57.92518,8f1d036b-2953-4015-9028-a57957994437,58.640057,2025-01-23 00:00:00.000,0,,,
180003,69.53653,62900750,86.43092,,,67.905556,,,193.0,5625988,79.27139,1737700320000,,,55.912655,52.969883,-1,415670,,62900750,0.6307756,2025-01-24 13:09:04.575,2025-01-24 13:09:04.575,75.74691,1,2.766667,,,132.87334,-1,86.59685,0.9101655,,,23.483334,67.905556,61.71863,98.209755,0.9560917,89.83333,62.05146,80.679344,AxW6kiZDC9,81.09952,78.11667,,,,,,com.sec.android.app.shealth,91.15736,79.27139,52.754333,22722000,,,,,,81.708824,55.967155,34a50b77-316e-4bbb-b447-da2455c001ff,58.855427,2025-01-24 00:00:00.000,0,,,
180003,52.2693,62900750,74.369545,,,87.65466,,,193.0,3646868,94.19679,1738126680000,,,56.25588,53.29504,-1,0,,62900750,0.94646853,2025-01-29 10:43:30.233,2025-01-29 10:43:30.233,76.97232,1,2.5500002,,,-1.0,-1,94.941895,0.4089347,,,0.11666667,87.65466,57.21229,-1.0,0.36081177,88.833336,58.785374,76.37931,AxW6kiZDC9,64.02298,71.08334,,,,,,com.sec.android.app.shealth,86.73175,94.19679,65.29836,20660000,,,,,,77.129524,53.093044,cf593602-bdaf-49c9-858c-cb4bcfe00325,59.216713,2025-01-29 00:00:00.000,0,,,
180003,56.534676,62900750,77.04903,,,67.796196,,,193.0,4076530,93.45107,1738299180000,,,57.152893,54.144848,-1,300339,,62900750,1.7333333,2025-01-31 10:05:38.566,2025-01-31 10:05:38.566,45.594788,1,3.3583336,,,128.52583,-1,88.43458,0.8674699,,,3.5,67.796196,63.10959,94.714355,0.8249998,77.5,74.013596,79.48627,AxW6kiZDC9,8.766949,37.454594,,,,,,com.sec.android.app.shealth,80.854164,93.45107,83.892,11220000,,,,,,98.61259,66.46283,02cb4947-9671-4d9d-99cb-2773e642a50d,60.160942,2025-01-31 00:00:00.000,0,,,
180003,77.154236,62900750,98.8376,,,73.082016,,,193.0,7334838,83.13046,1738396590000,,,58.06431,55.00829,-1,0,,62900750,2.579576,2025-02-02 12:24:31.954,2025-02-02 12:24:31.954,70.223236,1,3.6000001,,,-1.0,-1,89.410965,0.10617551,,,0.25,73.082016,63.03909,-1.0,0.755351,87.5,63.32539,76.37931,AxW6kiZDC9,58.918575,55.71039,,,,,,com.sec.android.app.shealth,75.56515,83.13046,55.991005,16710000,,,,,,83.49937,57.087177,cf686481-61dc-424f-a226-3a44410c5d78,61.120323,2025-02-01 00:00:00.000,0,,,
180003,71.63139,62910110,57.54664,,,81.94942,,,193.0,12919238,88.25905,1738817790000,,,59.630013,56.491592,-1,846465,,62910110,2.6477308,2025-02-06 11:44:38.085,2025-02-06 11:44:38.085,79.18471,1,3.4277775,,,132.08765,-1,86.00037,0.8216833,,,23.1,81.94942,62.156628,97.578064,0.99864113,86.00001,59.913433,85.203766,AxW6kiZDC9,75.09338,59.667473,,,,,,com.sec.android.app.shealth,75.13918,88.25905,55.302048,17900000,,,,,,78.70926,54.086163,ac49e085-3e9a-4b95-b351-8158c26ca08d,62.768436,2025-02-06 00:00:00.000,0,,,
180003,95.72167,62910110,97.22072,,,80.706696,,,193.0,7522395,95.70796,1738978530000,,,58.840885,55.743996,-1,1433617,,62910110,0.42499995,2025-02-08 07:02:18.314,2025-02-08 07:02:18.314,72.46857,1,0.54999995,,,132.95688,-1,81.29284,0.9782972,,,20.6,80.706696,61.718918,98.27692,1.4666665,69.0,59.790455,94.31474,AxW6kiZDC9,49.47071,66.25,,,,,,com.sec.android.app.shealth,94.04205,95.70796,64.64312,19500000,,,,,,78.53696,53.977917,66c66eb2-9cfc-4174-9109-2c14db8411fd,61.937775,2025-02-08 00:00:00.000,0,,,
180003,75.014854,62920010,83.76215,,,74.941956,,,193.0,5244614,92.56592,1739162400000,,,59.59154,56.455143,-1,1227943,,62920010,0.59808064,2025-02-10 13:37:24.284,2025-02-10 13:37:24.284,71.42891,1,0.84444445,,,127.36194,-1,83.15084,0.9715762,,,22.216667,74.941956,64.30827,93.77858,1.2678599,81.083336,58.30329,91.12325,AxW6kiZDC9,57.86316,71.41666,,,,,,com.sec.android.app.shealth,91.61569,92.56592,55.439068,20740000,,,,,,76.45504,52.66848,8bea39b8-645a-4438-bfe3-397a20a0beb5,62.72794,2025-02-10 00:00:00.000,0,,,
180003,70.96762,62920010,90.94583,,,88.74222,,,193.0,6149716,93.362885,1739424420000,,,58.76189,55.66916,-1,234000,,62920010,0.6723024,2025-02-13 12:01:58.341,2025-02-13 10:40:28.231,80.78912,1,0.9222223,,,128.61115,-1,82.454636,0.4673629,,,23.066668,88.74222,59.53668,94.782936,1.3423537,85.66667,63.646305,78.8,AxW6kiZDC9,71.454575,74.125,,,,,,com.sec.android.app.shealth,90.575195,93.362885,71.94185,21390000,,,,,,83.95081,57.36923,6e6e9eb4-5f54-480d-9f4a-6a32a25b0368,61.85462,2025-02-13 00:00:00.000,0,,,
180003,73.925995,62920010,92.67814,,,95.93141,,,193.0,6350664,87.71168,1739683740000,,,56.758198,53.770924,-1,330557,,62920010,0.10570166,2025-02-16 10:37:39.539,2025-02-16 06:17:22.668,84.501,1,1.861111,,,128.66287,-1,95.31026,0.69849247,,,22.333334,95.93141,55.39146,94.824524,0.33453482,81.66667,70.94847,79.79886,AxW6kiZDC9,78.816696,79.88889,,,,,,com.sec.android.app.shealth,98.518196,87.71168,89.54304,23360000,,,,,,94.26259,63.777794,7bdcd936-2ebf-489c-a395-d3712c3b62c2,59.745472,2025-02-16 00:00:00.000,0,,,
