com.samsung.shealth.activity.day_summary,6311013,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
,,,,0,,0,90,0,,2022-02-12 01:38:22.278,,2022-02-12 01:38:22.278,,,,-1,0,0,,,,0.0,,0.0,93745b57-8286-4fc0-b230-1ac16f9446d9.extra_data.json,yJFPNrhfsu,0,com.sec.android.app.shealth,0,-1,93745b57-8286-4fc0-b230-1ac16f9446d9,2022-01-25 00:00:00.000,
,,,,0,,0,90,0,,2022-02-12 01:38:22.161,,2022-02-12 01:38:22.161,,,,-1,0,0,,,,0.0,,0.0,0c0a71d2-a93d-4538-8c2a-e2b08ed0ced5.extra_data.json,yJFPNrhfsu,0,com.sec.android.app.shealth,0,-1,0c0a71d2-a93d-4538-8c2a-e2b08ed0ced5,2022-01-18 00:00:00.000,
,,,,0,,0,90,0,,2022-02-12 01:38:22.217,,2022-02-12 01:38:22.217,,,,-1,0,0,,,,0.0,,0.0,2d36db43-6e39-4a16-b5f8-e602d1d3dea8.extra_data.json,yJFPNrhfsu,0,com.sec.android.app.shealth,0,-1,2d36db43-6e39-4a16-b5f8-e602d1d3dea8,2022-01-21 00:00:00.000,
,,,,0,,0,90,0,,2022-02-12 01:38:22.111,,2022-02-12 01:38:22.111,,,,-1,0,0,,,,0.0,,0.0,e5620926-9021-4077-a4cd-e30b5d8ba20e.extra_data.json,yJFPNrhfsu,0,com.sec.android.app.shealth,0,-1,e5620926-9021-4077-a4cd-e30b5d8ba20e,2022-01-16 00:00:00.000,
,,,,0,,0,90,0,,2022-02-12 01:38:22.293,,2022-02-12 01:38:22.293,,,,-1,0,0,,,,0.0,,0.0,0183ecd4-ea73-42f5-b254-6efff39d6ab6.extra_data.json,yJFPNrhfsu,0,com.sec.android.app.shealth,0,-1,0183ecd4-ea73-42f5-b254-6efff39d6ab6,2022-01-26 00:00:00.000,
,,,,0,,0,90,0,,2022-02-12 01:38:22.323,,2022-02-12 01:38:22.323,,,,-1,0,0,,,,0.0,,0.0,5cd3c5c5-f714-4d54-8e0e-a8ca4ca70e8b.extra_data.json,yJFPNrhfsu,0,com.sec.android.app.shealth,0,-1,5cd3c5c5-f714-4d54-8e0e-a8ca4ca70e8b,2022-01-27 00:00:00.000,
,,,,0,,0,90,0,,2022-02-12 01:38:22.447,,2022-02-12 01:38:22.447,,,,-1,0,0,,,,0.0,,0.0,8796407e-0e36-4670-8657-595a4e458e1b.extra_data.json,yJFPNrhfsu,0,com.sec.android.app.shealth,0,-1,8796407e-0e36-4670-8657-595a4e458e1b,2022-02-04 00:00:00.000,
,,,,0,,0,90,0,,2022-02-12 01:38:22.377,,2022-02-12 01:38:22.377,,,,-1,0,0,,,,0.0,,0.0,04ceeb11-00f9-46dd-b3eb-c230185657bf.extra_data.json,yJFPNrhfsu,0,com.sec.android.app.shealth,0,-1,04ceeb11-00f9-46dd-b3eb-c230185657bf,2022-01-31 00:00:00.000,
,,,,0,,0,90,0,,2022-02-12 01:38:22.256,,2022-02-12 01:38:22.256,,,,-1,0,0,,,,0.0,,0.0,7d0ac5cf-2001-48e9-8223-28e3e1b35c20.extra_data.json,yJFPNrhfsu,0,com.sec.android.app.shealth,0,-1,7d0ac5cf-2001-48e9-8223-28e3e1b35c20,2022-01-24 00:00:00.000,
,,,,0,,0,90,0,,2022-02-12 01:38:22.428,,2022-02-12 01:38:22.428,,,,-1,0,0,,,,0.0,,0.0,4fe439cd-65fa-4447-b9b8-4f87c80745b4.extra_data.json,yJFPNrhfsu,0,com.sec.android.app.shealth,0,-1,4fe439cd-65fa-4447-b9b8-4f87c80745b4,2022-02-03 00:00:00.000,
