com.samsung.shealth.exercise.recovery_heart_rate,6311013,2
create_sh_ver,start_time,modify_sh_ver,update_time,create_time,time_offset,deviceuuid,exercise_id,pkg_name,end_time,datauuid,heart_rate
62980011,2025-06-27 12:40:36.554,62980011,2025-06-27 12:42:37.345,2025-06-27 12:42:37.345,UTC-0500,jkrxtcKrsf,274c73ac-d6aa-4da6-8add-de842db22d3a,com.sec.android.app.shealth,2025-06-27 12:42:36.554,1f1b2e03-d106-4664-b918-148767d0d698,1f1b2e03-d106-4664-b918-148767d0d698.heart_rate.json,
62980011,2025-07-02 11:41:49.698,62980011,2025-07-02 11:43:49.765,2025-07-02 11:43:49.765,UTC-0500,jkrxtcKrsf,6c3063e8-9928-4741-9456-6d2dbfca1944,com.sec.android.app.shealth,2025-07-02 11:43:49.698,439c05a7-e098-4a6b-866c-bf560f3796f8,439c05a7-e098-4a6b-866c-bf560f3796f8.heart_rate.json,
62980011,2025-07-05 22:03:34.193,62980011,2025-07-05 22:05:34.246,2025-07-05 22:05:34.246,UTC-0500,jkrxtcKrsf,efd9adcb-9028-4fed-991f-5311b6e87453,com.sec.android.app.shealth,2025-07-05 22:05:34.193,f2dbc4a9-f806-4b8b-99ca-e4681df0398d,f2dbc4a9-f806-4b8b-99ca-e4681df0398d.heart_rate.json,
62981051,2025-07-09 11:53:30.672,62981051,2025-07-09 11:55:31.031,2025-07-09 11:55:31.031,UTC-0500,jkrxtcKrsf,842f04ae-e5e6-437d-a48d-123eae55ef48,com.sec.android.app.shealth,2025-07-09 11:55:30.672,5b78738e-6b01-4b50-b181-d63ea805737f,5b78738e-6b01-4b50-b181-d63ea805737f.heart_rate.json,
62981051,2025-07-11 17:22:25.458,62981051,2025-07-11 17:24:25.553,2025-07-11 17:24:25.553,UTC-0500,jkrxtcKrsf,29a8f148-6e46-4028-a39e-30c61e65e879,com.sec.android.app.shealth,2025-07-11 17:24:25.458,d518d21e-9929-4561-b88e-b1ebb2c8a31a,d518d21e-9929-4561-b88e-b1ebb2c8a31a.heart_rate.json,
62981551,2025-07-21 11:58:32.366,62981551,2025-07-21 12:00:32.549,2025-07-21 12:00:32.549,UTC-0500,jkrxtcKrsf,7d82433a-cd49-4b7e-aee0-0c23ce5c36d8,com.sec.android.app.shealth,2025-07-21 12:00:32.366,bc20c0ac-54bd-4a93-bf42-c429d2f021cd,bc20c0ac-54bd-4a93-bf42-c429d2f021cd.heart_rate.json,
62981551,2025-07-22 16:53:11.612,62981551,2025-07-22 16:55:12.499,2025-07-22 16:55:12.499,UTC-0500,jkrxtcKrsf,a0f541aa-b2b7-4aa3-88df-95b8552a2777,com.sec.android.app.shealth,2025-07-22 16:55:11.612,40c0ab9e-3fc3-4bae-9260-69595de176cd,40c0ab9e-3fc3-4bae-9260-69595de176cd.heart_rate.json,
62981551,2025-07-23 13:08:03.643,62981551,2025-07-23 13:10:03.723,2025-07-23 13:10:03.723,UTC-0500,jkrxtcKrsf,88432a6c-182d-4ff0-b15d-4faab8b87763,com.sec.android.app.shealth,2025-07-23 13:10:03.643,77efe1e8-c610-470a-9793-84e97c59e4a6,77efe1e8-c610-470a-9793-84e97c59e4a6.heart_rate.json,
62981551,2025-07-26 12:50:38.195,62981551,2025-07-26 12:52:38.265,2025-07-26 12:52:38.265,UTC-0500,jkrxtcKrsf,84a2d1f2-6f19-4aaa-bfa8-8968c0b91d8e,com.sec.android.app.shealth,2025-07-26 12:52:38.195,b01c7c80-b5a1-4644-8a35-2f6459f518bb,b01c7c80-b5a1-4644-8a35-2f6459f518bb.heart_rate.json,
62981551,2025-07-28 12:12:16.430,62981551,2025-07-28 12:14:16.536,2025-07-28 12:14:16.536,UTC-0500,jkrxtcKrsf,29cb771d-9ec7-4875-a550-522e771f00d1,com.sec.android.app.shealth,2025-07-28 12:14:16.430,84eae7c7-e0a8-460c-b57f-f93760f7ff6d,84eae7c7-e0a8-460c-b57f-f93760f7ff6d.heart_rate.json,
62981551,2025-07-31 12:57:55.197,62981551,2025-07-31 12:59:55.750,2025-07-31 12:59:55.750,UTC-0500,jkrxtcKrsf,aace9f63-5098-4bd8-85a4-4edc31e6fe9d,com.sec.android.app.shealth,2025-07-31 12:59:55.197,cffbb6e3-7e72-4e24-a969-82258e78fa9e,cffbb6e3-7e72-4e24-a969-82258e78fa9e.heart_rate.json,
62981551,2025-08-02 23:11:47.354,62981551,2025-08-02 23:13:47.484,2025-08-02 23:13:47.484,UTC-0500,jkrxtcKrsf,72deafb2-ec14-4f81-86ce-46caf48a4226,com.sec.android.app.shealth,2025-08-02 23:13:47.354,b145884e-d5ce-4b58-8e58-e5534264bcea,b145884e-d5ce-4b58-8e58-e5534264bcea.heart_rate.json,
62981551,2025-08-08 00:40:13.475,62981551,2025-08-08 00:42:14.293,2025-08-08 00:42:14.293,UTC-0500,jkrxtcKrsf,3a33e812-72bd-460a-94ad-1a3bae0504aa,com.sec.android.app.shealth,2025-08-08 00:42:13.475,efdce13e-4f14-4506-8a24-6d4913b0010b,efdce13e-4f14-4506-8a24-6d4913b0010b.heart_rate.json,
62981551,2025-08-09 12:52:44.092,62981551,2025-08-09 12:54:44.950,2025-08-09 12:54:44.950,UTC-0500,jkrxtcKrsf,cbc93bfc-b0e1-4e5c-a6b3-6e8023d1fefb,com.sec.android.app.shealth,2025-08-09 12:54:44.092,49b0781a-9449-40cd-b54d-bc9ecaa77cb2,49b0781a-9449-40cd-b54d-bc9ecaa77cb2.heart_rate.json,
62981551,2025-08-10 12:19:20.148,62981551,2025-08-10 12:21:20.263,2025-08-10 12:21:20.263,UTC-0500,jkrxtcKrsf,c4e7ac4a-115e-4abc-8cc7-79b3a76713d5,com.sec.android.app.shealth,2025-08-10 12:21:20.148,4292a6ce-5e5a-4050-afcf-04e366876118,4292a6ce-5e5a-4050-afcf-04e366876118.heart_rate.json,
62981551,2025-08-13 12:39:17.862,62981551,2025-08-13 12:41:17.915,2025-08-13 12:41:17.915,UTC-0500,jkrxtcKrsf,78261ada-3eb5-40ef-8036-6361b3e0a984,com.sec.android.app.shealth,2025-08-13 12:41:17.862,fbe1dfdb-7071-42b6-811e-51868112f9f2,fbe1dfdb-7071-42b6-811e-51868112f9f2.heart_rate.json,
